Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493485064,2017-04-29T16:57:44Z,FIN63G,"52.557381,13.29947",0,16,78
1493485049,2017-04-29T16:57:29Z,FIN63G,"52.557159,13.29733",0,19,81
1493485029,2017-04-29T16:57:09Z,FIN63G,"52.55685,13.29409",0,23,81
1493485019,2017-04-29T16:56:59Z,FIN63G,"52.556648,13.29199",0,22,81
1493484999,2017-04-29T16:56:39Z,FIN63G,"52.556301,13.28844",0,20,81
1493484984,2017-04-29T16:56:24Z,FIN63G,"52.556149,13.28683",0,19,81
1493484964,2017-04-29T16:56:04Z,FIN63G,"52.55587,13.28403",0,17,81
1493484950,2017-04-29T16:55:50Z,FIN63G,"52.55595,13.28212",0,16,154
1493484940,2017-04-29T16:55:40Z,FIN63G,"52.556622,13.28182",0,16,171
1493484930,2017-04-29T16:55:30Z,FIN63G,"52.557301,13.28165",0,14,171
1493484920,2017-04-29T16:55:20Z,FIN63G,"52.55793,13.28147",0,12,171
1493484914,2017-04-29T16:55:14Z,FIN63G,"52.558189,13.28141",0,8,171
1493484905,2017-04-29T16:55:05Z,FIN63G,"52.55851,13.28133",0,5,177
1493484880,2017-04-29T16:54:40Z,FIN63G,"52.559471,13.28433",0,57,261
1493484871,2017-04-29T16:54:31Z,FIN63G,"52.559898,13.28879",0,86,261
1493484851,2017-04-29T16:54:11Z,FIN63G,"52.561901,13.30892",25,140,261
1493484840,2017-04-29T16:54:00Z,FIN63G,"52.56258,13.31581",100,139,261
1493484830,2017-04-29T16:53:50Z,FIN63G,"52.563568,13.3261",225,141,261
1493484820,2017-04-29T16:53:40Z,FIN63G,"52.564602,13.33685",350,139,263
1493484811,2017-04-29T16:53:31Z,FIN63G,"52.565578,13.34674",475,139,263
1493484800,2017-04-29T16:53:20Z,FIN63G,"52.566738,13.35777",625,142,261
1493484790,2017-04-29T16:53:10Z,FIN63G,"52.567669,13.36832",750,140,261
1493484780,2017-04-29T16:53:00Z,FIN63G,"52.56884,13.38001",900,139,260
1493484774,2017-04-29T16:52:54Z,FIN63G,"52.56916,13.3837",925,139,260
1493484765,2017-04-29T16:52:45Z,FIN63G,"52.570229,13.39477",1075,139,261
1493484755,2017-04-29T16:52:35Z,FIN63G,"52.571499,13.4082",1250,139,260
1493484745,2017-04-29T16:52:25Z,FIN63G,"52.572231,13.41564",1350,141,261
1493484735,2017-04-29T16:52:15Z,FIN63G,"52.5732,13.42598",1475,141,263
1493484725,2017-04-29T16:52:05Z,FIN63G,"52.574371,13.43761",1600,144,263
1493484714,2017-04-29T16:51:54Z,FIN63G,"52.575489,13.44899",1750,150,264
1493484704,2017-04-29T16:51:44Z,FIN63G,"52.576519,13.45998",1875,151,264
1493484695,2017-04-29T16:51:35Z,FIN63G,"52.577679,13.4726",2025,153,264
1493484684,2017-04-29T16:51:24Z,FIN63G,"52.578609,13.48226",2150,157,263
1493484674,2017-04-29T16:51:14Z,FIN63G,"52.580009,13.49623",2325,168,263
1493484664,2017-04-29T16:51:04Z,FIN63G,"52.581081,13.50777",2500,169,263
1493484655,2017-04-29T16:50:55Z,FIN63G,"52.582352,13.52127",2700,169,263
1493484644,2017-04-29T16:50:44Z,FIN63G,"52.583549,13.53304",2850,173,263
1493484635,2017-04-29T16:50:35Z,FIN63G,"52.58482,13.54614",3075,177,263
1493484624,2017-04-29T16:50:24Z,FIN63G,"52.586109,13.5594",3425,176,263
1493484615,2017-04-29T16:50:15Z,FIN63G,"52.58741,13.57275",3825,173,264
1493484604,2017-04-29T16:50:04Z,FIN63G,"52.588619,13.58665",4150,171,265
1493484594,2017-04-29T16:49:54Z,FIN63G,"52.589539,13.59901",4375,176,264
1493484584,2017-04-29T16:49:44Z,FIN63G,"52.590271,13.61267",4500,188,260
1493484574,2017-04-29T16:49:34Z,FIN63G,"52.5937,13.62625",4725,198,233
1493484564,2017-04-29T16:49:24Z,FIN63G,"52.599979,13.63861",4825,217,228
1493484554,2017-04-29T16:49:14Z,FIN63G,"52.607052,13.65051",4900,222,218
1493484544,2017-04-29T16:49:04Z,FIN63G,"52.616829,13.65946",5075,238,196
1493484529,2017-04-29T16:48:49Z,FIN63G,"52.633591,13.6637",5425,243,185
1493484515,2017-04-29T16:48:35Z,FIN63G,"52.64983,13.66623",5750,244,185
1493484499,2017-04-29T16:48:19Z,FIN63G,"52.666759,13.66905",5975,241,185
1493484469,2017-04-29T16:47:49Z,FIN63G,"52.70174,13.67096",6625,246,175
1493484455,2017-04-29T16:47:35Z,FIN63G,"52.719501,13.6689",6900,258,176
1493484439,2017-04-29T16:47:19Z,FIN63G,"52.736938,13.66691",7250,259,176
1493484424,2017-04-29T16:47:04Z,FIN63G,"52.756111,13.66464",7650,260,175
1493484404,2017-04-29T16:46:44Z,FIN63G,"52.779282,13.6615",8125,260,174
1493484380,2017-04-29T16:46:20Z,FIN63G,"52.808441,13.65836",8650,259,184
1493484374,2017-04-29T16:46:14Z,FIN63G,"52.816914,13.660479",8825,255,198
1493484362,2017-04-29T16:46:02Z,FIN63G,"52.827293,13.665972",9075,256,199
1493484351,2017-04-29T16:45:51Z,FIN63G,"52.84108,13.673935",9300,257,199
1493484339,2017-04-29T16:45:39Z,FIN63G,"52.854538,13.68187",9550,260,199
1493484323,2017-04-29T16:45:23Z,FIN63G,"52.871429,13.691864",9825,263,199
1493484311,2017-04-29T16:45:11Z,FIN63G,"52.88567,13.700265",9975,267,199
1493484299,2017-04-29T16:44:59Z,FIN63G,"52.89959,13.708426",10000,272,199
1493484287,2017-04-29T16:44:47Z,FIN63G,"52.914486,13.717137",10000,280,199
1493484275,2017-04-29T16:44:35Z,FIN63G,"52.928593,13.725455",10000,290,199
1493484263,2017-04-29T16:44:23Z,FIN63G,"52.944855,13.735046",10000,294,199
1493484251,2017-04-29T16:44:11Z,FIN63G,"52.959732,13.743591",10000,296,199
1493484245,2017-04-29T16:44:05Z,FIN63G,"52.967651,13.748093",10000,297,199
1493484239,2017-04-29T16:43:59Z,FIN63G,"52.977173,13.753586",10025,298,199
1493484233,2017-04-29T16:43:53Z,FIN63G,"52.98436,13.757858",10025,297,200
1493484227,2017-04-29T16:43:47Z,FIN63G,"52.99205,13.762741",10025,296,203
1493484221,2017-04-29T16:43:41Z,FIN63G,"52.999878,13.768768",10050,294,210
1493484215,2017-04-29T16:43:35Z,FIN63G,"53.005589,13.774972",10075,291,219
1493484209,2017-04-29T16:43:29Z,FIN63G,"53.01178,13.784624",10200,288,228
1493484197,2017-04-29T16:43:17Z,FIN63G,"53.021229,13.804086",10375,285,232
1493484185,2017-04-29T16:43:05Z,FIN63G,"53.031006,13.825117",10575,283,232
1493484173,2017-04-29T16:42:53Z,FIN63G,"53.040527,13.84552",10800,288,232
1493484161,2017-04-29T16:42:41Z,FIN63G,"53.050323,13.86673",10950,295,232
1493484149,2017-04-29T16:42:29Z,FIN63G,"53.060196,13.888209",11075,302,233
1493484137,2017-04-29T16:42:17Z,FIN63G,"53.070419,13.911057",11225,310,233
1493484124,2017-04-29T16:42:04Z,FIN63G,"53.080948,13.934937",11375,319,233
1493484112,2017-04-29T16:41:52Z,FIN63G,"53.092392,13.960953",11525,330,233
1493484100,2017-04-29T16:41:40Z,FIN63G,"53.102692,13.983948",11650,341,233
1493484088,2017-04-29T16:41:28Z,FIN63G,"53.114334,14.009588",11825,350,233
1493484056,2017-04-29T16:40:56Z,FIN63G,"53.148876,14.0873",12625,373,233
1493484023,2017-04-29T16:40:23Z,FIN63G,"53.181046,14.161054",13800,384,234
1493483992,2017-04-29T16:39:52Z,FIN63G,"53.212738,14.234593",15050,393,233
1493483959,2017-04-29T16:39:19Z,FIN63G,"53.248444,14.31652",15925,416,234
1493483926,2017-04-29T16:38:46Z,FIN63G,"53.286995,14.406307",17225,433,233
1493483863,2017-04-29T16:37:43Z,FIN63G,"53.363342,14.572314",20975,443,231
1493483801,2017-04-29T16:36:41Z,FIN63G,"53.447525,14.738002",24775,459,228
1493483736,2017-04-29T16:35:36Z,FIN63G,"53.538116,14.912764",30050,437,229
1493483672,2017-04-29T16:34:32Z,FIN63G,"53.622219,15.076393",33225,441,229
1493483609,2017-04-29T16:33:29Z,FIN63G,"53.706436,15.241255",36225,443,229
1493483546,2017-04-29T16:32:26Z,FIN63G,"53.790691,15.406629",37800,451,229
1493483485,2017-04-29T16:31:25Z,FIN63G,"53.87188,15.567546",38025,449,229
1493483423,2017-04-29T16:30:23Z,FIN63G,"53.956558,15.736542",38025,449,229
1493483359,2017-04-29T16:29:19Z,FIN63G,"54.040695,15.905535",38000,445,229
1493483296,2017-04-29T16:28:16Z,FIN63G,"54.124332,16.074776",37975,442,230
1493483233,2017-04-29T16:27:13Z,FIN63G,"54.206772,16.242422",37975,440,230
1493483170,2017-04-29T16:26:10Z,FIN63G,"54.288895,16.410908",38000,440,230
1493483109,2017-04-29T16:25:09Z,FIN63G,"54.367126,16.572472",37975,442,230
1493483047,2017-04-29T16:24:07Z,FIN63G,"54.449799,16.744215",37975,443,230
1493482983,2017-04-29T16:23:03Z,FIN63G,"54.532608,16.917492",38000,444,230
1493482920,2017-04-29T16:22:00Z,FIN63G,"54.614044,17.088991",38000,447,230
1493482857,2017-04-29T16:20:57Z,FIN63G,"54.696671,17.264288",38025,449,231
1493482794,2017-04-29T16:19:54Z,FIN63G,"54.780857,17.444542",38025,450,231
1493482733,2017-04-29T16:18:53Z,FIN63G,"54.858322,17.611168",38025,451,231
1493482671,2017-04-29T16:17:51Z,FIN63G,"54.940018,17.788319",38025,451,231
1493482607,2017-04-29T16:16:47Z,FIN63G,"55.022507,17.968302",38025,449,231
1493482544,2017-04-29T16:15:44Z,FIN63G,"55.102478,18.144083",38000,447,231
1493482481,2017-04-29T16:14:41Z,FIN63G,"55.183319,18.322449",37950,442,231
1493482475,2017-04-29T16:14:35Z,FIN63G,"55.190872,18.338524",37950,441,229
1493482463,2017-04-29T16:14:23Z,FIN63G,"55.207718,18.370918",37950,441,225
1493482439,2017-04-29T16:13:59Z,FIN63G,"55.243973,18.42795",37975,439,217
1493482376,2017-04-29T16:12:56Z,FIN63G,"55.350006,18.552996",38000,441,213
1493482312,2017-04-29T16:11:52Z,FIN63G,"55.458008,18.677788",38000,442,213
1493482249,2017-04-29T16:10:49Z,FIN63G,"55.565125,18.8025",37975,440,213
1493482187,2017-04-29T16:09:47Z,FIN63G,"55.672623,18.928612",37975,437,213
