Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493453494,2017-04-29T08:11:34Z,UAE322,"37.58432,126.182098",3100,284,80
1493453484,2017-04-29T08:11:24Z,UAE322,"37.582306,126.166878",3200,284,80
1493453473,2017-04-29T08:11:13Z,UAE322,"37.58046,126.151886",3350,287,80
1493453422,2017-04-29T08:10:22Z,UAE322,"37.541473,126.086525",4200,280,6
1493453335,2017-04-29T08:08:55Z,UAE322,"37.427395,126.089012",5700,272,350
1493453325,2017-04-29T08:08:45Z,UAE322,"37.418877,126.0914",5800,266,340
1493453315,2017-04-29T08:08:35Z,UAE322,"37.407028,126.098564",6000,260,329
1493453304,2017-04-29T08:08:24Z,UAE322,"37.396809,126.106033",6150,258,329
1493453289,2017-04-29T08:08:09Z,UAE322,"37.38126,126.117256",6400,255,329
1493453274,2017-04-29T08:07:54Z,UAE322,"37.361847,126.131462",6725,256,329
1493453258,2017-04-29T08:07:38Z,UAE322,"37.350025,126.140366",6925,257,328
1493453243,2017-04-29T08:07:23Z,UAE322,"37.334755,126.152122",7175,259,328
1493453227,2017-04-29T08:07:07Z,UAE322,"37.319065,126.164307",7425,260,328
1493453217,2017-04-29T08:06:57Z,UAE322,"37.308701,126.172424",7600,260,327
1493453207,2017-04-29T08:06:47Z,UAE322,"37.297699,126.181023",7775,261,329
1493453197,2017-04-29T08:06:37Z,UAE322,"37.286247,126.188072",7950,267,341
1493453187,2017-04-29T08:06:27Z,UAE322,"37.274414,126.190948",8100,278,358
1493453181,2017-04-29T08:06:21Z,UAE322,"37.266834,126.190514",8175,285,9
1493453171,2017-04-29T08:06:11Z,UAE322,"37.252991,126.18528",8200,296,26
1493453161,2017-04-29T08:06:01Z,UAE322,"37.242722,126.176842",8200,304,41
1493453155,2017-04-29T08:05:55Z,UAE322,"37.237183,126.169861",8200,312,52
1493453145,2017-04-29T08:05:45Z,UAE322,"37.229279,126.154022",8200,318,66
1493453136,2017-04-29T08:05:36Z,UAE322,"37.225266,126.136902",8200,320,81
1493453130,2017-04-29T08:05:30Z,UAE322,"37.224613,126.127106",8200,321,88
1493453120,2017-04-29T08:05:20Z,UAE322,"37.225983,126.10762",8175,319,102
1493453105,2017-04-29T08:05:05Z,UAE322,"37.233131,126.080833",8225,317,110
1493453090,2017-04-29T08:04:50Z,UAE322,"37.240585,126.05555",8400,318,110
1493453079,2017-04-29T08:04:39Z,UAE322,"37.24649,126.035751",8625,318,110
1493453064,2017-04-29T08:04:24Z,UAE322,"37.254128,126.010498",8975,317,110
1493453049,2017-04-29T08:04:09Z,UAE322,"37.261761,125.985481",9325,316,110
1493453038,2017-04-29T08:03:58Z,UAE322,"37.2673,125.967209",9525,319,110
1493453023,2017-04-29T08:03:43Z,UAE322,"37.276428,125.937393",9750,324,111
1493453008,2017-04-29T08:03:28Z,UAE322,"37.283733,125.913887",10425,317,111
1493452997,2017-04-29T08:03:17Z,UAE322,"37.2896,125.895973",10950,316,112
1493452982,2017-04-29T08:03:02Z,UAE322,"37.298401,125.869835",11625,319,113
1493452972,2017-04-29T08:02:52Z,UAE322,"37.30426,125.852715",12000,323,112
1493452962,2017-04-29T08:02:42Z,UAE322,"37.309944,125.835312",12425,325,110
1493452952,2017-04-29T08:02:32Z,UAE322,"37.314194,125.817764",12850,325,101
1493452942,2017-04-29T08:02:22Z,UAE322,"37.315155,125.798111",13325,323,83
1493452936,2017-04-29T08:02:16Z,UAE322,"37.314087,125.78904",13550,321,76
1493452901,2017-04-29T08:01:41Z,UAE322,"37.293457,125.726021",14775,339,66
1493452870,2017-04-29T08:01:10Z,UAE322,"37.273682,125.669685",15125,364,66
1493452835,2017-04-29T08:00:35Z,UAE322,"37.248734,125.599503",15525,383,65
1493452794,2017-04-29T07:59:54Z,UAE322,"37.218002,125.513603",16350,398,65
1493452784,2017-04-29T07:59:44Z,UAE322,"37.210739,125.493546",16575,400,66
1493452774,2017-04-29T07:59:34Z,UAE322,"37.203709,125.47097",16850,403,71
1493452763,2017-04-29T07:59:23Z,UAE322,"37.198589,125.44548",17150,406,80
1493452698,2017-04-29T07:58:18Z,UAE322,"37.186844,125.290947",18875,416,84
1493452636,2017-04-29T07:57:16Z,UAE322,"37.175446,125.135681",20600,427,84
1493452575,2017-04-29T07:56:15Z,UAE322,"37.164513,124.988586",22250,437,84
1493452510,2017-04-29T07:55:10Z,UAE322,"37.152008,124.824326",23325,442,84
1493452448,2017-04-29T07:54:08Z,UAE322,"37.13998,124.667595",24350,450,84
1493452387,2017-04-29T07:53:07Z,UAE322,"37.127457,124.50901",25350,457,84
1493452326,2017-04-29T07:52:06Z,UAE322,"37.113647,124.335548",26425,464,84
1493452233,2017-04-29T07:50:33Z,UAE322,"37.094032,124.095413",27900,467,86
1493452227,2017-04-29T07:50:27Z,UAE322,"37.09343,124.081978",27975,469,88
1493452221,2017-04-29T07:50:21Z,UAE322,"37.093826,124.059372",28100,472,94
1493452174,2017-04-29T07:49:34Z,UAE322,"37.120743,123.931564",28900,496,110
1493452150,2017-04-29T07:49:10Z,UAE322,"37.139923,123.873535",29100,501,115
1493452089,2017-04-29T07:48:09Z,UAE322,"37.210041,123.722771",29100,502,126
1493452026,2017-04-29T07:47:06Z,UAE322,"37.299316,123.573341",29100,504,126
1493451935,2017-04-29T07:45:35Z,UAE322,"37.427906,123.357834",29100,505,126
1493451924,2017-04-29T07:45:24Z,UAE322,"37.44191,123.333748",29100,504,125
1493451857,2017-04-29T07:44:17Z,UAE322,"37.544586,123.182747",29100,506,134
1493451794,2017-04-29T07:43:14Z,UAE322,"37.650101,123.048042",30025,510,134
1493451731,2017-04-29T07:42:11Z,UAE322,"37.751907,122.917435",31025,521,134
1493451670,2017-04-29T07:41:10Z,UAE322,"37.854649,122.785355",32000,523,134
1493451607,2017-04-29T07:40:07Z,UAE322,"37.96051,122.648094",33025,519,133
1493451544,2017-04-29T07:39:04Z,UAE322,"38.066757,122.510475",33100,521,133
1493451538,2017-04-29T07:38:58Z,UAE322,"38.077637,122.49559",33100,521,131
1493451532,2017-04-29T07:38:52Z,UAE322,"38.08667,122.482246",33100,520,129
1493451523,2017-04-29T07:38:43Z,UAE322,"38.099934,122.46096",33100,520,126
1493451517,2017-04-29T07:38:37Z,UAE322,"38.107956,122.446953",33100,519,124
1493451502,2017-04-29T07:38:22Z,UAE322,"38.127411,122.40815",33100,517,119
1493451477,2017-04-29T07:37:57Z,UAE322,"38.152588,122.342636",33100,515,111
1493451414,2017-04-29T07:36:54Z,UAE322,"38.192619,122.155487",33100,513,102
1493451352,2017-04-29T07:35:52Z,UAE322,"38.224274,121.972023",33100,512,102
1493451263,2017-04-29T07:34:23Z,UAE322,"38.269619,121.705589",33100,514,102
1493451242,2017-04-29T07:34:02Z,UAE322,"38.279022,121.649818",33100,515,102
1493451181,2017-04-29T07:33:01Z,UAE322,"38.309093,121.471291",33100,517,101
1493451118,2017-04-29T07:31:58Z,UAE322,"38.33963,121.281876",33100,516,101
1493451030,2017-04-29T07:30:30Z,UAE322,"38.382568,121.02124",33100,516,101
1493451018,2017-04-29T07:30:18Z,UAE322,"38.388512,120.983177",33100,515,101
1493450955,2017-04-29T07:29:15Z,UAE322,"38.433064,120.798157",33100,516,111
1493450894,2017-04-29T07:28:14Z,UAE322,"38.485611,120.630302",33100,514,111
1493450831,2017-04-29T07:27:11Z,UAE322,"38.541367,120.45237",33100,512,111
1493450770,2017-04-29T07:26:10Z,UAE322,"38.594738,120.282104",33100,511,113
