Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493486792,2017-04-29T17:26:32Z,DLH75N,"41.28846,2.081238",0,2,64
1493486780,2017-04-29T17:26:20Z,DLH75N,"41.288395,2.081024",0,16,64
1493486771,2017-04-29T17:26:11Z,DLH75N,"41.288319,2.080739",0,15,50
1493486762,2017-04-29T17:26:02Z,DLH75N,"41.288246,2.080521",0,16,357
1493486753,2017-04-29T17:25:53Z,DLH75N,"41.287983,2.080597",0,25,334
1493486747,2017-04-29T17:25:47Z,DLH75N,"41.28772,2.080765",0,26,337
1493486741,2017-04-29T17:25:41Z,DLH75N,"41.287495,2.08091",0,27,312
1493486735,2017-04-29T17:25:35Z,DLH75N,"41.287365,2.081238",0,27,255
1493486729,2017-04-29T17:25:29Z,DLH75N,"41.287502,2.081711",0,18,244
1493486723,2017-04-29T17:25:23Z,DLH75N,"41.287731,2.082275",0,18,227
1493486717,2017-04-29T17:25:17Z,DLH75N,"41.288029,2.082657",0,18,199
1493486711,2017-04-29T17:25:11Z,DLH75N,"41.288544,2.082901",0,21,199
1493486705,2017-04-29T17:25:05Z,DLH75N,"41.289104,2.08316",0,20,199
1493486699,2017-04-29T17:24:59Z,DLH75N,"41.289646,2.083392",0,19,199
1493486693,2017-04-29T17:24:53Z,DLH75N,"41.290089,2.083595",0,18,199
1493486684,2017-04-29T17:24:44Z,DLH75N,"41.290775,2.083907",0,16,199
1493486678,2017-04-29T17:24:38Z,DLH75N,"41.291183,2.084094",0,15,199
1493486672,2017-04-29T17:24:32Z,DLH75N,"41.291546,2.084266",0,33,196
1493486666,2017-04-29T17:24:26Z,DLH75N,"41.291916,2.084422",0,31,205
1493486660,2017-04-29T17:24:20Z,DLH75N,"41.292255,2.084593",0,28,168
1493486654,2017-04-29T17:24:14Z,DLH75N,"41.292557,2.084484",0,29,154
1493486648,2017-04-29T17:24:08Z,DLH75N,"41.292847,2.084312",0,17,154
1493486642,2017-04-29T17:24:02Z,DLH75N,"41.293304,2.08403",0,18,154
1493486636,2017-04-29T17:23:56Z,DLH75N,"41.293743,2.083766",0,18,154
1493486627,2017-04-29T17:23:47Z,DLH75N,"41.29443,2.083345",0,17,157
