Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493419867,2017-04-28T22:51:07Z,UAL147,"41.950001,-72.650002",400,143,217
1493419816,2017-04-28T22:50:16Z,UAL147,"42.010212,-72.602196",1100,142,229
1493419732,2017-04-28T22:48:52Z,UAL147,"42.055267,-72.537918",2200,163,217
1493419677,2017-04-28T22:47:57Z,UAL147,"42.090332,-72.487869",2400,169,229
1493419605,2017-04-28T22:46:45Z,UAL147,"42.119946,-72.4244",2600,172,229
1493419553,2017-04-28T22:45:53Z,UAL147,"42.138802,-72.368805",2900,171,229
1493419483,2017-04-28T22:44:43Z,UAL147,"42.136093,-72.314812",3800,168,252
1493419410,2017-04-28T22:43:30Z,UAL147,"42.117619,-72.308197",4975,334,38
1493419354,2017-04-28T22:42:34Z,UAL147,"42.101635,-72.323555",4975,324,41
1493419348,2017-04-28T22:42:28Z,UAL147,"42.09219,-72.333725",4975,314,51
1493419339,2017-04-28T22:42:19Z,UAL147,"42.080433,-72.35347",4975,314,51
1493419322,2017-04-28T22:42:02Z,UAL147,"42.073627,-72.365974",4975,350,43
1493419316,2017-04-28T22:41:56Z,UAL147,"42.069405,-72.371414",4974,338,49
1493419306,2017-04-28T22:41:46Z,UAL147,"42.060383,-72.383301",4975,310,60
1493419300,2017-04-28T22:41:40Z,UAL147,"42.051128,-72.401657",4975,351,56
1493419275,2017-04-28T22:41:15Z,UAL147,"42.034195,-72.44973",4974,239,106
1493419263,2017-04-28T22:41:03Z,UAL147,"42.036453,-72.460274",4975,265,109
1493419253,2017-04-28T22:40:53Z,UAL147,"42.037731,-72.468178",4975,223,142
1493419247,2017-04-28T22:40:47Z,UAL147,"42.04356,-72.483261",4975,232,166
1493419237,2017-04-28T22:40:37Z,UAL147,"42.050644,-72.487183",4975,232,166
1493419212,2017-04-28T22:40:12Z,UAL147,"42.074669,-72.494293",4974,261,204
1493419205,2017-04-28T22:40:05Z,UAL147,"42.083351,-72.491173",4975,275,212
1493419195,2017-04-28T22:39:55Z,UAL147,"42.091038,-72.48658",4975,293,221
1493419188,2017-04-28T22:39:48Z,UAL147,"42.102493,-72.475182",4975,293,221
1493419179,2017-04-28T22:39:39Z,UAL147,"42.106644,-72.470482",4975,293,221
1493419172,2017-04-28T22:39:32Z,UAL147,"42.114216,-72.461884",4975,302,221
1493419166,2017-04-28T22:39:26Z,UAL147,"42.118687,-72.456657",4975,311,221
1493419159,2017-04-28T22:39:19Z,UAL147,"42.127411,-72.446739",4975,319,222
1493419150,2017-04-28T22:39:10Z,UAL147,"42.138065,-72.43412",4974,352,220
1493419140,2017-04-28T22:39:00Z,UAL147,"42.148102,-72.422501",4975,381,219
1493419131,2017-04-28T22:38:51Z,UAL147,"42.158009,-72.411926",4975,382,219
1493419119,2017-04-28T22:38:39Z,UAL147,"42.181175,-72.384338",4975,337,223
1493419103,2017-04-28T22:38:23Z,UAL147,"42.198032,-72.365135",4975,336,225
1493419096,2017-04-28T22:38:16Z,UAL147,"42.207726,-72.352539",4975,334,230
1493419087,2017-04-28T22:38:07Z,UAL147,"42.215691,-72.337349",4975,334,230
1493419072,2017-04-28T22:37:52Z,UAL147,"42.216972,-72.324509",4975,334,230
1493419051,2017-04-28T22:37:31Z,UAL147,"42.218628,-72.318993",4975,334,230
1493419044,2017-04-28T22:37:24Z,UAL147,"42.223396,-72.307198",4975,344,197
1493419022,2017-04-28T22:37:02Z,UAL147,"42.231678,-72.221825",4975,340,44
1493418986,2017-04-28T22:36:26Z,UAL147,"42.188442,-72.226463",4975,340,44
